y,m,d,Rainfall,Snowfall,SNO,SNOmlt,Tsnow,EXC,ET_soil,INF,REC,SMF,SMS,GW,SRUN,INT,BAS,RUNOFF,Qobs
1981,1,1,0.000,7.210,12.210,0.000,-4.320,-4.124,0.000,0.000,0.000,0.000,22.752,55.933,0.000,0.000,12.323,12.323,1.05
1981,1,2,15.470,0.000,12.210,0.000,-3.313,11.346,0.000,11.346,0.268,11.030,33.782,54.874,0.000,0.048,12.090,12.138,1.03
1981,1,3,14.180,0.000,11.783,0.377,-0.948,10.433,0.000,10.433,0.365,10.003,43.785,53.164,0.000,0.065,11.713,11.778,2.18
1981,1,4,36.080,0.000,11.265,0.438,-0.291,32.394,0.000,32.394,1.466,30.665,74.451,68.695,0.000,0.263,15.135,15.398,8.93
1981,1,5,0.000,13.720,24.495,0.000,-1.747,-4.124,0.000,0.000,0.000,0.000,74.451,56.292,0.000,0.000,12.402,12.402,4.93
1981,1,6,0.000,21.260,45.595,0.000,-2.678,-4.124,0.000,0.000,0.000,0.000,74.451,46.129,0.000,0.000,10.163,10.163,2.82
1981,1,7,0.000,9.640,55.095,0.000,-4.412,-4.124,0.000,0.000,0.000,0.000,74.451,37.801,0.000,0.000,8.328,8.328,2.21
1981,1,8,0.000,1.630,56.595,0.000,-6.584,-4.124,0.000,0.000,0.000,0.000,74.451,30.976,0.000,0.000,6.825,6.825,1.80
1981,1,9,0.000,0.000,56.505,0.000,-8.814,-4.124,0.000,0.000,0.000,0.000,74.451,25.384,0.000,0.000,5.593,5.593,1.60
1981,1,10,0.000,0.640,57.145,0.000,-8.626,-4.124,0.000,0.000,0.000,0.000,74.451,20.801,0.000,0.000,4.583,4.583,1.41
1981,1,11,0.000,0.220,57.365,0.000,-7.299,-4.124,0.000,0.000,0.000,0.000,74.451,17.046,0.000,0.000,3.755,3.755,1.22
1981,1,12,0.000,0.190,57.495,0.000,-7.526,-4.124,0.000,0.000,0.000,0.000,74.451,13.968,0.000,0.000,3.077,3.077,1.12
1981,1,13,0.000,8.050,65.545,0.000,-6.652,-4.124,0.000,0.000,0.000,0.000,74.451,11.446,0.000,0.000,2.522,2.522,1.11
1981,1,14,0.000,0.690,66.085,0.000,-6.447,-4.124,0.000,0.000,0.000,0.000,74.451,9.380,0.000,0.000,2.067,2.067,1.00
1981,1,15,22.520,0.000,66.065,0.000,-4.747,18.396,0.000,18.396,1.407,16.735,91.186,21.400,0.000,0.254,4.715,4.969,1.80
1981,1,16,0.000,6.160,72.015,0.000,-4.907,-4.124,0.000,0.000,0.000,0.000,91.186,17.536,0.000,0.000,3.864,3.864,1.62
1981,1,17,11.220,0.000,71.945,0.000,-3.543,7.096,0.000,7.096,0.663,6.313,97.499,19.544,0.000,0.120,4.306,4.426,1.39
1981,1,18,10.810,0.000,71.945,0.000,-2.934,6.686,0.000,6.686,0.667,5.898,103.397,20.849,0.000,0.121,4.593,4.714,1.67
1981,1,19,12.940,0.000,71.885,0.000,-2.193,8.816,0.000,8.816,0.931,7.715,111.112,23.407,0.000,0.169,5.157,5.326,1.86
1981,1,20,15.810,0.000,71.765,0.000,-2.151,11.686,0.000,11.686,1.325,10.120,121.233,27.474,0.000,0.241,6.053,6.294,2.85
1981,1,21,0.000,3.280,74.715,0.000,-3.307,-4.124,0.000,0.000,0.000,0.000,121.233,22.514,0.000,0.000,4.960,4.960,2.11
1981,1,22,0.000,0.000,74.605,0.000,-5.572,-4.124,0.000,0.000,0.000,0.000,121.233,18.449,0.000,0.000,4.065,4.065,1.67
1981,1,23,0.000,0.000,74.525,0.000,-8.035,-4.124,0.000,0.000,0.000,0.000,121.233,15.118,0.000,0.000,3.331,3.331,1.45
1981,1,24,0.000,0.000,74.475,0.000,-9.153,-4.124,0.000,0.000,0.000,0.000,121.233,12.389,0.000,0.000,2.730,2.730,1.22
1981,1,25,0.000,0.860,75.265,0.000,-9.038,-4.124,0.000,0.000,0.000,0.000,121.233,10.152,0.000,0.000,2.237,2.237,1.07
1981,1,26,0.000,6.810,82.075,0.000,-6.480,-4.124,0.000,0.000,0.000,0.000,121.233,8.319,0.000,0.000,1.833,1.833,1.11
1981,1,27,0.000,0.000,81.975,0.000,-5.854,-4.124,0.000,0.000,0.000,0.000,121.233,6.817,0.000,0.000,1.502,1.502,1.04
1981,1,28,0.000,0.000,81.865,0.000,-6.601,-4.124,0.000,0.000,0.000,0.000,121.233,5.587,0.000,0.000,1.231,1.231,0.93
1981,1,29,0.000,0.000,81.805,0.000,-7.825,-4.124,0.000,0.000,0.000,0.000,121.233,4.578,0.000,0.000,1.009,1.009,0.95
1981,1,30,0.000,0.000,81.735,0.000,-9.084,-4.124,0.000,0.000,0.000,0.000,121.233,3.751,0.000,0.000,0.827,0.827,0.89
1981,1,31,0.000,0.000,81.665,0.000,-9.137,-4.124,0.000,0.000,0.000,0.000,121.233,3.074,0.000,0.000,0.677,0.677,0.72
1981,2,1,0.000,0.000,81.605,0.000,-8.122,-4.124,0.000,0.000,0.000,0.000,121.233,2.519,0.000,0.000,0.555,0.555,0.65
1981,2,2,0.000,0.000,81.545,0.000,-7.023,-4.124,0.000,0.000,0.000,0.000,121.233,2.064,0.000,0.000,0.455,0.455,0.69
1981,2,3,0.000,3.360,84.855,0.000,-5.606,-4.124,0.000,0.000,0.000,0.000,121.233,1.692,0.000,0.000,0.373,0.373,0.75
1981,2,4,25.350,0.000,84.855,0.000,-3.244,21.226,0.000,21.226,2.620,18.128,139.361,16.241,0.000,0.477,3.578,4.056,1.59
1981,2,5,13.340,0.000,84.705,0.000,-3.043,9.216,0.000,9.216,1.303,7.674,147.035,19.598,0.000,0.238,4.318,4.556,1.42
1981,2,6,11.510,0.000,84.655,0.000,-2.343,7.386,0.000,7.386,1.100,6.084,153.119,21.045,0.000,0.201,4.637,4.838,1.27
1981,2,7,7.680,0.000,84.655,0.000,-0.599,3.556,0.000,3.556,0.551,2.904,156.023,19.625,0.000,0.101,4.324,4.425,4.66
1981,2,8,0.230,0.000,77.598,7.006,1.079,3.112,0.000,3.112,0.491,2.531,158.554,18.156,0.000,0.090,4.000,4.090,7.64
1981,2,9,0.000,0.000,69.317,8.121,1.225,3.997,0.000,3.997,0.641,3.239,161.792,17.532,0.000,0.118,3.863,3.980,5.80
1981,2,10,6.310,0.000,68.531,0.736,0.578,2.922,0.000,2.922,0.478,2.357,164.149,16.298,0.000,0.088,3.591,3.678,4.22
1981,2,11,3.170,0.000,68.181,0.000,-0.728,-0.954,0.000,0.000,0.000,0.000,164.149,13.356,0.000,0.000,2.942,2.942,3.26
1981,2,12,0.000,1.120,68.931,0.000,-2.484,-4.124,0.000,0.000,0.000,0.000,164.149,10.944,0.000,0.000,2.411,2.411,2.65
1981,2,13,0.000,0.000,68.611,0.000,-4.488,-4.124,0.000,0.000,0.000,0.000,164.149,8.969,0.000,0.000,1.976,1.976,2.07
1981,2,14,0.000,0.000,68.411,0.000,-6.353,-4.124,0.000,0.000,0.000,0.000,164.149,7.349,0.000,0.000,1.619,1.619,1.66
1981,2,15,0.000,0.000,68.201,0.000,-7.055,-4.124,0.000,0.000,0.000,0.000,164.149,6.022,0.000,0.000,1.327,1.327,1.37
1981,2,16,0.000,0.000,68.031,0.000,-7.166,-4.124,0.000,0.000,0.000,0.000,164.149,4.935,0.000,0.000,1.087,1.087,1.31
1981,2,17,0.000,0.230,68.191,0.000,-7.045,-4.124,0.000,0.000,0.000,0.000,164.149,4.044,0.000,0.000,0.891,0.891,1.26
1981,2,18,0.000,0.730,68.781,0.000,-6.299,-4.124,0.000,0.000,0.000,0.000,164.149,3.314,0.000,0.000,0.730,0.730,1.20
1981,2,19,0.000,0.600,69.221,0.000,-5.936,-4.124,0.000,0.000,0.000,0.000,164.149,2.716,0.000,0.000,0.598,0.598,1.09
1981,2,20,0.000,0.300,69.341,0.000,-5.557,-4.124,0.000,0.000,0.000,0.000,164.149,2.225,0.000,0.000,0.490,0.490,0.99
1981,2,21,0.000,1.980,71.131,0.000,-5.168,-4.124,0.000,0.000,0.000,0.000,164.149,1.824,0.000,0.000,0.402,0.402,0.82
1981,2,22,0.000,0.150,71.061,0.000,-4.956,-4.124,0.000,0.000,0.000,0.000,164.149,1.494,0.000,0.000,0.329,0.329,0.70
1981,2,23,0.000,0.050,70.921,0.000,-5.339,-4.124,0.000,0.000,0.000,0.000,164.149,1.225,0.000,0.000,0.270,0.270,0.72
1981,2,24,0.000,0.000,70.731,0.000,-5.140,-4.124,0.000,0.000,0.000,0.000,164.149,1.004,0.000,0.000,0.221,0.221,0.71
1981,2,25,0.000,0.020,70.621,0.000,-4.940,-4.124,0.000,0.000,0.000,0.000,164.149,0.822,0.000,0.000,0.181,0.181,0.67
1981,2,26,0.040,0.000,70.451,0.000,-3.879,-4.084,0.000,0.000,0.000,0.000,164.149,0.674,0.000,0.000,0.148,0.148,0.70
1981,2,27,0.000,0.000,70.121,0.000,-3.934,-4.124,0.000,0.000,0.000,0.000,164.149,0.552,0.000,0.000,0.122,0.122,0.72
1981,2,28,0.410,0.000,69.791,0.000,-3.102,-3.714,0.000,0.000,0.000,0.000,164.149,0.453,0.000,0.000,0.100,0.100,0.62
1981,3,1,1.970,0.000,66.661,2.950,-1.332,0.796,0.000,0.796,0.132,0.639,164.789,0.895,0.000,0.024,0.197,0.221,1.15
1981,3,2,0.300,0.000,62.647,3.744,-0.591,-0.080,0.000,0.000,0.000,0.000,164.789,0.733,0.000,0.000,0.162,0.162,1.57
1981,3,3,9.240,0.000,61.579,0.938,-0.051,6.054,0.000,6.054,1.008,4.861,169.650,4.585,0.000,0.185,1.010,1.195,2.49
1981,3,4,10.670,0.000,61.469,0.000,-0.028,6.546,0.000,6.546,1.120,5.219,174.870,8.034,0.000,0.206,1.770,1.976,5.24
1981,3,5,0.030,0.000,59.789,1.320,0.302,-2.774,0.000,0.000,0.000,0.000,174.870,6.584,0.000,0.000,1.450,1.450,3.17
1981,3,6,1.370,0.000,49.491,9.978,0.982,7.224,0.000,7.224,1.273,5.716,180.586,10.079,0.000,0.234,2.221,2.455,2.34
1981,3,7,1.230,0.000,33.017,16.064,2.351,13.170,0.000,13.170,2.395,10.334,190.920,16.728,0.000,0.441,3.685,4.127,3.21
1981,3,8,4.010,0.000,19.148,13.760,3.054,13.645,0.000,13.645,2.618,10.544,201.464,22.348,0.000,0.483,4.924,5.407,3.56
1981,3,9,0.740,0.000,0.000,20.622,5.300,17.238,0.000,17.238,3.483,13.111,214.575,29.058,0.000,0.644,6.402,7.046,5.25
1981,3,10,4.400,0.000,0.000,0.000,3.700,0.276,0.000,0.276,0.059,0.206,214.781,23.980,0.000,0.011,5.283,5.294,6.29
1981,3,11,9.030,0.000,0.000,0.000,6.700,4.906,0.000,4.906,1.054,3.657,218.437,22.647,0.000,0.195,4.990,5.185,7.54
1981,3,12,23.130,0.000,0.000,0.000,6.100,19.006,0.000,19.006,4.150,14.086,232.524,30.101,0.000,0.770,6.632,7.402,10.99
1981,3,13,5.260,0.000,0.000,0.000,2.400,1.136,0.150,1.136,0.263,0.824,233.197,25.342,0.000,0.049,5.583,5.632,10.95
1981,3,14,2.410,0.000,0.000,0.000,2.300,-1.714,0.420,0.000,0.000,0.000,232.777,20.766,0.000,0.000,4.575,4.575,5.41
1981,3,15,4.860,0.000,0.000,0.000,2.000,0.736,0.310,0.736,0.171,0.533,233.001,17.454,0.000,0.032,3.846,3.877,3.68
1981,3,16,2.800,0.000,0.000,0.000,1.700,-1.324,0.370,0.000,0.000,0.000,232.631,14.303,0.000,0.000,3.151,3.151,3.42
1981,3,17,7.810,0.000,0.000,0.000,-0.100,3.686,0.220,3.686,0.855,2.672,235.083,13.911,0.000,0.159,3.065,3.224,2.95
1981,3,18,8.110,0.000,0.000,0.000,-1.400,3.986,0.510,3.986,0.934,2.879,237.451,13.758,0.000,0.174,3.031,3.205,3.19
1981,3,19,0.030,0.000,0.000,0.000,-1.400,-4.094,0.970,0.000,0.000,0.000,236.481,11.274,0.000,0.000,2.484,2.484,3.13
1981,3,20,0.000,0.000,0.000,0.000,1.600,-4.124,0.910,0.000,0.000,0.000,235.571,9.239,0.000,0.000,2.035,2.035,2.67
1981,3,21,0.000,0.000,0.000,0.000,3.000,-4.124,0.710,0.000,0.000,0.000,234.861,7.571,0.000,0.000,1.668,1.668,2.36
1981,3,22,0.030,0.000,0.000,0.000,3.500,-4.094,0.890,0.000,0.000,0.000,233.971,6.204,0.000,0.000,1.367,1.367,2.34
1981,3,23,3.480,0.000,0.000,0.000,5.000,-0.644,0.490,0.000,0.000,0.000,233.481,5.084,0.000,0.000,1.120,1.120,2.21
1981,3,24,5.130,0.000,0.000,0.000,6.800,1.006,0.350,1.006,0.234,0.728,233.860,4.763,0.000,0.044,1.049,1.093,3.32
1981,3,25,4.090,0.000,0.000,0.000,7.500,-0.034,0.150,0.000,0.000,0.000,233.710,3.903,0.000,0.000,0.860,0.860,5.95
1981,3,26,14.050,0.000,0.000,0.000,5.600,9.926,0.000,9.926,2.312,7.184,240.893,9.085,0.000,0.430,2.002,2.432,5.00
1981,3,27,0.300,0.000,0.000,0.000,6.000,-3.824,0.630,0.000,0.000,0.000,240.263,7.445,0.000,0.000,1.640,1.640,3.80
1981,3,28,0.000,0.000,0.000,0.000,6.000,-4.124,0.560,0.000,0.000,0.000,239.703,6.101,0.000,0.000,1.344,1.344,2.84
